TiempoTotal,TimepError,ErrorX,Zero,ErrorY,Error,P,I,D,lr,fb,ud,yaw
274289630466606.00,15.61962891,53,0,-45,8,0.1,0.5,0,5,0,0,3
275941977648647.00,0,57,0,-44,13,0.1,0.5,0,5,0,0,3
277594324830797.00,15.62036133,59,0,-41,18,0.1,0.5,0,5,0,0,4
279246672013073.00,0,60,0,-40,20,0.1,0.5,0,5,0,0,3
280899019195457.00,0,58,0,-40,18,0.1,0.5,0,5,0,0,0
282551366377967.00,0,59,0,-39,20,0.1,0.5,0,5,0,0,3
284203713560602.00,0,59,0,-37,22,0.1,0.5,0,5,0,0,3
285856060743346.00,0,60,0,-36,24,0.1,0.5,0,5,0,0,3
287508407926215.00,0,61,0,-34,27,0.1,0.5,0,5,0,0,4
289160755109194.00,15.61767578,60,0,-32,28,0.1,0.5,0,5,0,0,3
290813102292297.00,0,61,0,-30,31,0.1,0.5,0,5,0,0,4
292465449475525.00,15.61938477,60,0,-29,31,0.1,0.5,0,5,0,0,3
294117796658879.00,0,60,0,-27,33,0.1,0.5,0,5,0,0,4
295770143842357.00,0,61,0,-27,34,0.1,0.5,0,5,0,0,3
297422491025945.00,15.61914063,61,0,-27,34,0.1,0.5,0,5,0,0,3
299074838209657.00,0,59,0,-28,31,0.1,0.5,0,5,0,0,1
300727185393479.00,0,58,0,-28,30,0.1,0.5,0,5,0,0,2
302379532577426.00,0,59,0,-30,29,0.1,0.5,0,5,0,0,2
304031879761514.00,0,56,0,-30,26,0.1,0.5,0,5,0,0,1
305684226945711.00,15.65112305,54,0,-32,22,0.1,0.5,0,5,0,0,0
307336574130080.00,15.61962891,52,0,-33,19,0.1,0.5,0,5,0,0,0
308988921314573.00,0,51,0,-31,20,0.1,0.5,0,5,0,0,2
310641268499176.00,0,51,0,-30,21,0.1,0.5,0,5,0,0,2
312293615683920.00,15.62158203,49,0,-30,19,0.1,0.5,0,0,0,0,0
313945962868804.00,0,44,0,-28,16,0.1,0.5,0,0,0,0,0
315598310053813.00,0,44,0,-26,18,0.1,0.5,0,0,0,0,2
317250657238932.00,15.61816406,41,0,-21,20,0.1,0.5,0,0,0,0,3
318903004424175.00,0,41,0,-21,20,0.1,0.5,0,0,0,0,2
320555351609544.00,0,38,0,-18,20,0.1,0.5,0,0,0,0,2
322207698795022.00,0,36,0,-15,21,0.1,0.5,0,0,0,0,2
323860045980625.00,0,34,0,-15,19,0.1,0.5,0,0,0,0,0
325512393166368.00,0,34,0,-13,21,0.1,0.5,0,0,0,0,3
327164740352221.00,0,33,0,-12,21,0.1,0.5,0,0,0,0,2
328817087538199.00,15.61865234,30,0,-13,17,0.1,0.5,0,0,0,0,0
330469434724286.00,0,29,0,-14,15,0.1,0.5,0,0,0,0,0
332121781910483.00,0,28,0,-14,14,0.1,0.5,0,0,0,0,0
333774129096805.00,0,28,0,-14,14,0.1,0.5,0,0,0,0,1
335426476283236.00,15.62182617,27,0,-15,12,0.1,0.5,0,0,0,0,0
337078823469792.00,0,26,0,-15,11,0.1,0.5,0,0,0,0,0
338731170656504.00,0,24,0,-16,8,0.1,0.5,0,0,0,0,0
340383517843341.00,0,24,0,-14,10,0.1,0.5,0,0,0,0,2
342035865030303.00,15.62084961,21,0,-13,8,0.1,0.5,0,0,0,0,0
343688212217375.00,0,21,0,-12,9,0.1,0.5,0,0,0,0,1
345340559404571.00,15.62084961,22,0,-12,10,0.1,0.5,0,0,0,0,1
346992906591877.00,0,22,0,-12,10,0.1,0.5,0,0,0,0,1
348645253779293.00,15.62109375,22,0,-12,10,0.1,0.5,0,0,0,0,1
350297600966833.00,0,22,0,-11,11,0.1,0.5,0,0,0,0,1
351949948154498.00,0,21,0,-12,9,0.1,0.5,0,0,0,0,0
353602295342272.00,0,23,0,-11,12,0.1,0.5,0,0,0,0,2
355254642530156.00,0,25,0,-15,10,0.1,0.5,0,0,0,0,0
356906989718165.00,0,26,0,-19,7,0.1,0.5,0,0,0,0,0
358559336906283.00,0,27,0,-24,3,0.1,0.5,0,0,0,0,-1
360211684094527.00,0,26,0,-29,-3,0.1,0.5,0,0,0,0,-3
361864031282895.00,0,28,0,-38,-10,0.1,0.5,0,0,0,0,-4
363516378471372.00,0,28,0,-44,-16,0.1,0.5,0,0,0,0,-4
365168725659975.00,0,29,0,-50,-21,0.1,0.5,0,0,0,0,-4
366821072848702.00,0,30,0,-52,-22,0.1,0.5,0,0,0,10,-2
368473420037539.00,0,32,0,-55,-23,0.1,0.5,0,0,0,10,-2
370125767226501.00,15.63427734,33,0,-58,-25,0.1,0.5,0,0,0,10,-3
371778114415603.00,15.61767578,34,0,-59,-25,0.1,0.5,0,0,0,10,-2
373430461604830.00,0,34,0,-59,-25,0.1,0.5,0,0,0,10,-2
375082808794167.00,0,33,0,-59,-26,0.1,0.5,0,0,0,10,-3
376735155983628.00,0,33,0,-59,-26,0.1,0.5,0,0,0,10,-2
378387503173215.00,15.62573242,33,0,-54,-21,0.1,0.5,0,0,0,10,0
380039850362927.00,0,34,0,-51,-17,0.1,0.5,0,0,0,10,0
381692197552748.00,15.62182617,34,0,-48,-14,0.1,0.5,0,0,0,0,0
383344544742693.00,0,36,0,-45,-9,0.1,0.5,0,0,0,0,1
384996891932749.00,15.61865234,40,0,-39,1,0.1,0.5,0,0,0,0,5
386649239122944.00,15.6237793,39,0,-36,3,0.1,0.5,0,0,0,0,1
388301586313265.00,0,41,0,-33,8,0.1,0.5,0,0,0,0,3
389953933503695.00,0,43,0,-31,12,0.1,0.5,0,0,0,0,3
391606280694251.00,0,42,0,-32,10,0.1,0.5,0,0,0,0,0
393258627884931.00,0,44,0,-29,15,0.1,0.5,0,0,0,0,4
394910975075736.00,15.61865234,44,0,-27,17,0.1,0.5,0,0,0,0,2
396563322266697.00,0,44,0,-20,24,0.1,0.5,0,0,0,0,5
398215669457783.00,15.62011719,44,0,-16,28,0.1,0.5,0,0,0,0,4
399868016648979.00,0,44,0,-12,32,0.1,0.5,0,0,0,0,5
401520363840284.00,15.60766602,45,0,-8,37,0.1,0.5,0,0,0,0,6
403172711031745.00,0,43,0,-6,37,0.1,0.5,0,0,0,0,3
404825058223362.00,0,44,0,-2,42,0.1,0.5,0,0,0,0,6
406477405415105.00,0,44,0,1,45,0.1,0.5,0,0,0,0,6
408129752606972.00,0,44,0,3,47,0.1,0.5,0,0,0,0,5
409782099798949.00,0,43,0,4,47,0.1,0.5,0,0,0,0,4
411434446991050.00,0,45,0,6,51,0.1,0.5,0,0,0,0,7
413086794183261.00,0,45,0,6,51,0.1,0.5,0,0,0,0,5
414739141375597.00,15.62158203,46,0,6,52,0.1,0.5,0,0,0,0,5
416391488568042.00,0,45,0,5,50,0.1,0.5,0,0,0,0,4
418043835760613.00,15.61938477,44,0,-1,43,0.1,0.5,0,0,0,0,0
419696182953292.00,0,47,0,-2,45,0.1,0.5,0,0,0,0,5
421348530146081.00,0,47,0,-5,42,0.1,0.5,0,0,0,0,2
423000877338995.00,15.61962891,48,0,-9,39,0.1,0.5,0,0,0,0,2
424653224532018.00,0,50,0,-13,37,0.1,0.5,0,0,0,0,2
426305571725151.00,0,49,0,-17,32,0.1,0.5,0,0,0,0,0
427957918918409.00,0,50,0,-21,29,0.1,0.5,0,0,0,0,1
429610266111776.00,0,48,0,-25,23,0.1,0.5,0,0,0,0,0
431262613305252.00,0,49,0,-27,22,0.1,0.5,0,0,0,0,1
432914960498869.00,0,48,0,-32,16,0.1,0.5,0,0,0,0,-1
434567307692595.00,0,47,0,-35,12,0.1,0.5,0,0,0,0,0
436219654886509.00,0,45,0,-40,5,0.1,0.5,0,0,0,0,-3
437872002080548.00,0,41,0,-44,-3,0.1,0.5,0,0,0,0,-4
439524349274713.00,0,40,0,-46,-6,0.1,0.5,0,0,0,0,-2
441176696468986.00,0,37,0,-47,-10,0.1,0.5,0,0,0,0,-3
442829043663385.00,0,33,0,-48,-15,0.1,0.5,0,0,0,0,-4
444481390857909.00,0,32,0,-47,-15,0.1,0.5,0,0,0,0,-1
446133738052542.00,15.59301758,29,0,-47,-18,0.1,0.5,0,0,0,0,-3
447786085247300.00,0,26,0,-48,-22,0.1,0.5,0,0,0,0,-4
449438432442183.00,15.61962891,22,0,-49,-27,0.1,0.5,0,0,0,0,-5
451090779637191.00,0,21,0,-49,-28,0.1,0.5,0,0,0,0,-3
452743126832308.00,15.62011719,18,0,-51,-33,0.1,0.5,0,0,0,10,-5
454395474027550.00,0,17,0,-51,-34,0.1,0.5,0,0,0,10,-3
456047821222902.00,0,19,0,-51,-32,0.1,0.5,0,0,0,10,-2
457700168418378.00,0,22,0,-51,-29,0.1,0.5,0,0,0,10,-1
459352515613964.00,0,23,0,-51,-28,0.1,0.5,0,0,0,10,-2
461004862809675.00,0,29,0,-52,-23,0.1,0.5,0,0,0,10,0
462657210005495.00,15.62060547,30,0,-51,-21,0.1,0.5,0,0,0,10,-1
464309557201441.00,0,33,0,-50,-17,0.1,0.5,0,0,0,0,0
